VIN,Plate,Year,Maker,Model,Submodel,CC,Fuel,Transmission,FirstReg,BodyStyle,ListingDate,ListingUrl
,,2013,Skoda,Superb,Tdi 103,1968cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5796426138
,,2022,Skoda,Octavia,RS Wagon 180kW iV PHEV,1395cc,,Tiptronic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5795248983
,,2017,Skoda,Kodiaq,Style Tsi 132Kw,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5793843619
,,2024,Skoda,Kamiq,Monte Carlo TSi 110Kw,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5793654667
,,2014,Skoda,Rapid,Tsi,1390cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5793651294
,,2026,Skoda,Elroq,Sportline 85 210kW,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5793287496
,,2022,Skoda,Karoq,Style TSI 110KW,1395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5793236824
,,2021,Skoda,Superb,IV WG Style,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5793114721
,,2021,Skoda,Superb,Wag Style 140Kw 2.0P,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5793093073
,,2023,Skoda,Kamiq,Scoutline Tsi 85Kw,999cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5791537700
,,2024,Skoda,Kamiq,Scoutline TSI 85kW,999cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5791456622
,,2024,Skoda,Scala,TSI 85kW,999cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5791456413
,,2023,Skoda,Kodiaq,RS 2.0L TSI 180Kw 4WD,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5791311900
,,2023,Skoda,Octavia,RS TURBO 180KW,2000cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5790515829
,,2016,Skoda,Octavia,TDI 81KW 7DSG NZ New **Cruis...,1600cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5790368470
,,2021,Skoda,Kodiaq,Style TSI 132KW 2.0 PETROL,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5790158970
,,2022,Skoda,Kodiaq,RS 180kW Turbo Petrol 4X4,1984cc,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5790133878
,,2024,Skoda,Enyaq,Coupe Sportline,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5790019260
,,2021,Skoda,Kodiaq,Ambition TSI 110KW,1395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5790001249
,,2021,Skoda,Kodiaq,RS TDI 176KW 2.0 TURBO DIESEL,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5789894805
,,2015,Skoda,Octavia,1.4 PETROL TURBO,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5789893236
,,2021,Skoda,Octavia,Wgn Rs Tsi 180Kw Dsg,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5789748726
,,2021,Skoda,Kamiq,Monte Carlo TSI 110kw,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5788067073
,,2022,Skoda,Fabia,Monte Carlo 110Kw Ts,1498cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5787899293
,,2022,Skoda,Kodiaq,RS TSI 180KW 2.0PT,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5786710895
,,2016,Skoda,Superb,Wagon Style 206Kw Tsi,1984cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5786695882
,,2025,Skoda,Superb,195 TSI All Wheel Drive,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5786674399
,,2021,Skoda,Superb,IV WG SPORTLINE PHEV,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5786476125
,,2026,Skoda,Superb,Sportline 195Kw 2.0P,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5783745279
,,2026,Skoda,Elroq,Sportline 85 210kW,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5783300150
,,2023,Skoda,Enyaq,SPORTLINE 80 77KWH/EV,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5783233370
,,2023,Skoda,Kodiaq,RS 2.0L TSI 180Kw 7 Seat NZ New,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5813646795
,,2020,Skoda,Karoq,"SPORTLINE, 140KW, 4X4, NZ NEW",1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5782056796
,,2021,Skoda,Kodiaq,Style Tsi 132Kw 2.0P,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5781928202
,,2015,Skoda,Octavia,RS TSi 162KW,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5781570426
,,2025,Skoda,Kamiq,TSi 85kW,999cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5781544853
,,2021,Skoda,Kodiaq,RS TDI 176KW 2.0DT,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5781499327
,,2020,Skoda,Superb,Wagon Sportline,2000cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5781449875
,,2020,Skoda,Superb,Scout 200Kw 2.0 Petrol Turbo AWD,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5781404763
,,2023,Skoda,Enyaq,Sportline 80 77Kwh,,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5780272024
,,2019,Skoda,Octavia,Scout TDI 110KW 7DSG,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5780057693
,,2026,Skoda,Kodiaq,RS TSI 195kW 4x4,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5778647712
,,2024,Skoda,Octavia,Style TSI,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5778381683
,,2025,Skoda,Octavia,RS+ Wagon 195kW 2.0L Turbo P...,1984cc,,Tiptronic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5776805454
,,2025,Skoda,Karoq,Sportline 2.0L 140kW 4X4 Turbo...,1984cc,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5776782331
,,2019,Skoda,Karoq,Style Tsi 110Kw 1.5P,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5776743308
,,2026,Skoda,Superb,Sportline TSi 4x4 195Kw,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5776616805
,,2026,Skoda,Kamiq,Monte Carlo TSI 110kW,1500cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5776359898
,,2026,Skoda,Kodiaq,RS TSI 195kW 4x4,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5776351434
,,2025,Skoda,Kodiaq,Selection TDI 142kW 4x4,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5775934131
,,2019,Skoda,Kodiaq,Ambition+ Tsi 110Kw,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5775514028
,,2026,Skoda,Elroq,Sportline 85 210kW,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5775049212
,,2015,Skoda,Octavia,Rs Tsi 162Kw 6Dsg L/,1984cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5774647184
,,2017,Skoda,Superb,Wag Style 132Kw Tsi,1798cc,,Manual,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5773761536
,,2025,Skoda,Elroq,Sportline 85 210Kw,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5771620669
,,2025,Skoda,Enyaq,RS 85 250kW 4X4,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5771620667
,,2020,Skoda,Karoq,Ambition Tsi 85Kw - 6 Speed Manua,999cc,,Manual,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5795300222
,,2020,Skoda,Octavia,WGN RS TSI 180KW DSG,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5769060041
,,2013,Skoda,Yeti,YETI,1200cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5768612291
,,2025,Skoda,Karoq,Sportline Tsi 4x4 140kW,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5768611454
,,2025,Skoda,Karoq,Selection TSi 110Kw,1395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5768366361
,,2024,Skoda,Kamiq,"TSI, 85kW, 1.0, NZ New",999cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5768275236
,,2015,Skoda,Octavia,RS TSI 162KW 6DSG WG,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5768079189
,,2023,Skoda,Kamiq,Scoutline,999cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5766869776
,,2025,Skoda,Enyaq,Sportline 85 210kW,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5766688898
,,2025,Skoda,Elroq,Sportline 85 210kW,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5766687869
,,2020,Skoda,Kodiaq,Style TSI 132KW,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5766582288
,,2020,Skoda,Kodiaq,Ambition 1.5L 110kWh 5Dr Wagon,1498cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5765582156
,,2012,Skoda,Superb,Tsi 118 Wagon Petrol,1798cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5765544037
,,2013,Skoda,Superb,TS1 118,1798cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5765079334
,,2025,Skoda,Karoq,Selection TSI 110kW,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5763295484
,,2025,Skoda,Enyaq,RS 85 250kW 4x4,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5762834940
,,2018,Skoda,Kodiaq,Sportline Tsi 132Kw,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5762130831
,,2017,Skoda,Superb,Sportline 206Kw Tsi 4x4,1984cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5781726602
,,2017,Skoda,Octavia,Wgn vRS RS 169Kw,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5762108206
,,2022,Skoda,Kamiq,Style Tsi 110Kw,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5761996410
,,2020,Skoda,Kodiaq,Rs Tdi 176Kw,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5761905579
,,2018,Skoda,Karoq,Style Tsi 110Kw,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5761866028
,,2014,Skoda,Octavia,Tsi 132Kw 7Dsg L/B,1798cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5761509241
,,2023,Skoda,Enyaq,Sportline 80,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5808582951
,,2015,Skoda,Octavia,Tsi 103Kw 7Dsg Wgn,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5761433154
,,2016,Skoda,Superb,Wag Style 206Kw Tsi,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5761277436
,,2017,Skoda,Superb,Sed Style 206Kw Tsi,1984cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5760405762
,,2020,Skoda,Kamiq,Ambition+ Tsi 110Kw,1498cc,,Manual,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5760280011
,,2015,Skoda,Octavia,Rs Tsi 162Kw 6Dsg L/,1984cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5760125420
,,2017,Skoda,Fabia,81KW TSI DSG 1.0P,999cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5760079353
,,2018,Skoda,Kodiaq,Style Tsi 132Kw,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5759751020
,,2025,Skoda,Kamiq,Monte Carlo 110KW,1500cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5758293923
,,2026,Skoda,Kodiaq,RS TSI 195kW 4x4,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5758161943
,,2026,Skoda,Kodiaq,RS TSI 195kW 4x4,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5757981054
,,2026,Skoda,Kodiaq,RS TSI 195kW 4x4,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5757981012
,,2021,Skoda,Kodiaq,Rs Tdi 176Kw 2.0Dt,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5756507369
,,2022,Skoda,Superb,Scout 206kW Turbo Petrol 4x4,1984cc,,Tiptronic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5756455973
,,2025,Skoda,Kodiaq,RS TSI 195kW 4x4,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5756390447
,,2026,Skoda,Kodiaq,RS 195kW 4x4,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5756041529
,,2026,Skoda,Kodiaq,Selection TDi 142kW,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5756041526
,,2025,Skoda,Karoq,Sportline 2.0 TSI 140kW,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5755881966
,,2025,Skoda,Fabia,Monte Carlo TSI 110kW,1498cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5755833396
,,2026,Skoda,Fabia,Monte Carlo TSI 110KW,1498cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5755806902
,,2012,Skoda,Octavia,Tdi 77 20 000 RUC PREPAID,1598cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5755427148
,,2023,Skoda,Kamiq,TSI Monte Carlo 110kW,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5754887235
,,2022,Skoda,Kodiaq,Style Tsi 132Kw,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5754857188
,,2025,Skoda,Enyaq,Coup RS 85 250kW 4x4,,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/skoda/5751091034
,,2026,Skoda,Kodiaq,RS TSI 195kW 4x4,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5750925817
,,2026,Skoda,Kodiaq,RS 195kW 4x4 2.0 TSI,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5747696952
,,2026,Skoda,Kodiaq,Selection TDi 142Kw,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5747611942
,,2020,Skoda,Karoq,Style TSI 110KW 1.4P,1398cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5747303349
,,2015,Skoda,Octavia,Tsi 132Kw 4X4 6Dsg W,1798cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5746371763
,,2018,Skoda,Kodiaq,Ambition+ Tdi,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5746111710
,,2025,Skoda,Superb,Wagon Sportline TSI 195,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5745716051
,,2020,Skoda,Kodiaq,Sportline TSI 132KW,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5744792155
,,2022,Skoda,Octavia,Wagon STY TSI 110KW,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5798163807
,,2018,Skoda,Kodiaq,Sportline Tsi 132kw,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5743889634
,,2019,Skoda,Kodiaq,RS TDI 176KW,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5743477602
,,2025,Skoda,Karoq,Selection 110TSi,1395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5743421228
,,2026,Skoda,Octavia,RS Plus 195TSi,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5743420730
,,2026,Skoda,Kamiq,Monte Carlo TSI 110kW,1498cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5743419242
,,2025,Skoda,Fabia,Monte Carlo TSI 110kW,1498cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5743393596
,,2018,Skoda,Kodiaq,4WD 7 SEATER,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5742190279
,,2025,Skoda,Kodiaq,Selection TDi 4x4 142kW,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5742089813
,,2026,Skoda,Kodiaq,RS TSi 4WD 195kW,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5741818034
,,2026,Skoda,Kodiaq,RS TSi 4WD 195kW,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5739975796
,,2015,Skoda,Fabia,66KW TSI MANUAL 1.2P,1197cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5738694107
,,2018,Skoda,Karoq,Ambition+ Tsi 110Kw,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5737260742
,,2014,Skoda,Yeti,Tsi 4X4,1800cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5813455924
,,2026,Skoda,Kodiaq,RS TSI 4x4 195kW,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5733583457
,,2025,Skoda,Kodiaq,Rs 195Kw 2.0T/4WD,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5733583252
,,2025,Skoda,Octavia,RS Wagon 195kW 2.0L Turbo Pe...,1984cc,,Tiptronic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5733271859
,,2026,Skoda,Enyaq,Rs 85 250Kw 4X4,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5740302099
,,2020,Skoda,Superb,Sportline 200Kw 2.0P,1984cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5731022514
,,2020,Skoda,Kodiaq,Style Tsi 132Kw,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5730169981
,,2026,Skoda,Kodiaq,RS 195kW 2.0L Turbo Petrol 4x4,1984cc,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5729930278
,,2026,Skoda,Kodiaq,Selection 142kW Turbo Diesel 4x4,1968cc,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5729698269
,,2011,Skoda,Octavia,Scout Tdi,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5728132427
,,2025,Skoda,Octavia,Wagon TSI 110kW,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5726474016
,,2026,Skoda,Fabia,Monte Carlo TSI 110kW,1498cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5726291900
,,2023,Skoda,Fabia,Monte Carlo Edition 110KW,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5726095632
,,2013,Skoda,Octavia,VRS TDI,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5724063275
,,2020,Skoda,Kodiaq,Style TSI 132KW,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5721054230
,,2026,Skoda,Kodiaq,RS 195kW 4x4,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5718195396
,,2026,Skoda,Enyaq,Sportline 85 SUV 210kW,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5717796668
,,2026,Skoda,Enyaq,RS 85 SUV 250kW Dual Motor,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5717796667
,,2026,Skoda,Elroq,Sportline 85 210kW,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5717796666
,,2012,Skoda,Octavia,SCOUT TDI DSG,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5716680224
,,2026,Skoda,Kodiaq,RS TSI 195kW 4x4,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5716453737
,,2016,Skoda,Fabia,1.2TSi 66kW MANUAL,1197cc,,Manual,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5716332208
,,2025,Skoda,Kamiq,TSI 85kW,999cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5714696885
,,2025,Skoda,Kamiq,TSI 85kW,999cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5714260406
,,2014,Skoda,Rapid,Rapid Tsi 90Kw 7Dsg,1390cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/skoda/5710475843
,,2020,Skoda,Kamiq,Montecarlo Tsi 110Kw,1498cc,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5704524472
,,2025,Skoda,Kodiaq,RS TSI 195kW 4x4,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5704135659
,,2026,Skoda,Kamiq,Monte Carlo TSI 110kW,1500cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5762823135
,,2026,Skoda,Kodiaq,RS TSI 4X4,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5702512125
,,2018,Skoda,Kodiaq,4WD 7 SEATER .. JUST THE 1 OWNER,1395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5699845982
,,2022,Skoda,Kamiq,MONTECARLO TSI 110KW,1498cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5699467463
,,2021,Skoda,Superb,Sportline TSi 4x4 206kW,1984cc,,Tiptronic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5694404100
,,2019,Skoda,Kodiaq,Style Tsi 132Kw,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5694399775
,,2016,Skoda,Superb,STYLE 206KW 4WD NZ NEW,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5692753834
,,2015,Skoda,Octavia,Scout Tdi 135Kw 6Dsg,1968cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5740625003
,,2022,Skoda,Karoq,AMBITION+ TSI 110KW,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5691007664
,,2021,Skoda,Superb,WGN SPORTLINE 206KW,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5687915255
,,2019,Skoda,Karoq,Style Tsi 110kw 1.5p,1498cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5686104568
,,2020,Skoda,Kodiaq,Rs Tdi 176Kw 2.0Dt,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5683860257
,,2018,Skoda,Karoq,STYLE TSI 110KW 1.5P 5Dr Wagon,1498cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5683754414
,,2022,Skoda,Superb,Wagon Style 140Kw,1984cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5683053879
,,2025,Skoda,Scala,TSI 85kW,999cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/skoda/5682852334
,,2023,Skoda,Kodiaq,RS 2.0L TSI 180Kw NZ New,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5798017272
,,2025,Skoda,Kodiaq,RS TSI 195kW 4x4,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5682469583
,,2020,Skoda,Kodiaq,RS 2.0D 4WD 176KW,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5681771917
,,2018,Skoda,Karoq,Style Tdi 110Kw 4X4,1968cc,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5679727950
,,2026,Skoda,Kodiaq,RS TSI 195kW 4x4,1984cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5679153606
,,2022,Skoda,Superb,Wagon Sportline IV,1395cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/skoda/5678966904
,,2021,Skoda,Karoq,AMBITION+ TSI 110KW,1395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5676344374
,,2025,Skoda,Kodiaq,Selection TDi 4x4 142kW,1968cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/skoda/5669069554
